Fecha	Vista	
18/03/2019	211156013,86	
15/03/2019	101667106,42	
14/03/2019	207604088,39	
13/03/2019	159748034,73	
12/03/2019	158512623,42	
11/03/2019	188054972,25	
08/03/2019	212666603,97	
07/03/2019	54370264,10	
06/03/2019	186905400,13	
01/03/2019	195705937,63	
28/02/2019	189731717,15	
27/02/2019	12669727,13	
26/02/2019	59849528,19	
25/02/2019	73810192,43	
22/02/2019	15082807,14	
21/02/2019	298386569,06	
20/02/2019	72332664,16	
19/02/2019	208131469,18	
18/02/2019	122053769,74	
15/02/2019	174092388,12	
14/02/2019	225193022,05	
13/02/2019	158862575,65	
12/02/2019	216116187,36	
11/02/2019	300294200,62	
08/02/2019	162899870,53	
07/02/2019	123471971,40	
06/02/2019	162661830,34	
05/02/2019	247546001,79	
04/02/2019	71735049,75	
01/02/2019	184161387,66	
31/01/2019	253742175,35	
30/01/2019	156738446,74	
29/01/2019	295204223,53	
28/01/2019	120019133,14	
25/01/2019	197292258,84	
24/01/2019	96286136,82	
23/01/2019	34554190,10	
22/01/2019	60290469,45	
21/01/2019	244652065,75	
18/01/2019	73064344,48	
17/01/2019	71091705,90	
16/01/2019	55217000,60	
15/01/2019	173842078,95	
14/01/2019	20202664,68	
11/01/2019	135096086,37	
10/01/2019	166348107,83	
09/01/2019	160010597,16	
08/01/2019	246968096,28	
07/01/2019	130161298,90	
04/01/2019	14818393,11	
03/01/2019	17160307,68	
02/01/2019	133631955,22	
28/12/2018	77364223,10	
27/12/2018	136513082,82	
26/12/2018	101493318,75	
21/12/2018	137588556,58	
20/12/2018	279250349,59	
19/12/2018	257545823,47	
18/12/2018	219200785,53	
17/12/2018	143996565,91	
14/12/2018	166548184,32	
13/12/2018	43162723,08	
12/12/2018	256636541,43	
11/12/2018	257764916,17	
10/12/2018	27518953,47	
07/12/2018	204415942,64	
06/12/2018	78808805,11	
05/12/2018	40100926,39	
04/12/2018	14857850,40	
03/12/2018	130022912,17	
30/11/2018	98927124,92	
29/11/2018	210118479,75	
28/11/2018	167026084,92	
27/11/2018	223899758,35	
26/11/2018	125775706,34	
23/11/2018	9549912,99	
22/11/2018	274530559,25	
21/11/2018	84223015,07	
19/11/2018	27231176,18	
16/11/2018	163399032,35	
15/11/2018	184130082,36	
14/11/2018	158277152,94	
13/11/2018	217831168,15	
12/11/2018	251542811,16	
09/11/2018	194943033,64	
08/11/2018	277469810,10	
07/11/2018	20824090,39	
06/11/2018	20959920,09	
02/11/2018	144783488,58	
01/11/2018	278560920,42	
31/10/2018	15481373,96	
30/10/2018	3823096,08	
29/10/2018	103590342,88	
26/10/2018	53228439,79	
25/10/2018	231781360,98	
24/10/2018	277883628,49	
23/10/2018	68732709,05	
22/10/2018	263972107,78	
19/10/2018	261377300,08	
18/10/2018	254406428,80	
17/10/2018	286473617,39	
16/10/2018	66280015,34	
15/10/2018	76260018,04	
11/10/2018	216023980,17	
10/10/2018	46450280,85	
09/10/2018	17636405,83	
08/10/2018	274915587,75	
05/10/2018	201896140,48	
04/10/2018	7882915,14	
03/10/2018	229632372,66	
02/10/2018	239020591,21	
01/10/2018	61861633,66	
28/09/2018	128373791,69	
27/09/2018	14547040,66	
26/09/2018	129758735,68	
25/09/2018	143846647,04	
24/09/2018	57873764,71	
21/09/2018	180316920,01	
20/09/2018	15178716,95	
19/09/2018	44112284,69	
18/09/2018	83249332,51	
17/09/2018	220413708,29	
14/09/2018	46169632,42	
13/09/2018	234351423,84	
12/09/2018	44374903,92	
